,Time,Subsidence
375,1934307.8529526289,-0.40160951050111027
376,1936107.8529526289,-0.4016514967444151
377,1938087.8529526289,-0.40169823550813033
378,1939887.8529526289,-0.40174123855542687
379,1941867.8529526289,-0.4017892076275413
380,1944045.8529526289,-0.4018428638276934
381,1946441.652952629,-0.40190308388710716
382,1949077.0329526288,-0.4019658545447776
383,1951975.9509526289,-0.4019957835157291
384,1955164.7607526288,-0.4020197386276729
385,1958672.4515326289,-0.40204346233250376
386,1962530.911390629,-0.4020687671876529
387,1966775.217234429,-0.4020962601288584
388,1971443.953662609,-0.4021263318572114
389,1976579.563733607,-0.40215930899056507
390,1982228.7348117048,-0.40219550310511165
391,1988442.8229976124,-0.4022352224051691
392,1995278.3200021107,-0.4022516435851662
393,2002797.3667070589,-0.40218359508820367
394,2011068.3180825019,-0.4020929134568369
395,2020166.364595489,-0.4019856076264884
396,2030174.2157597751,-0.40186147590611226
397,2041182.8520404897,-0.4017191133589225
398,2053292.3519492757,-0.40155627655522624
399,2066612.8018489403,-0.401370764354947
400,2081265.2967385715,-0.4011920298504393
401,2097383.0411171657,-0.4011954310128504
402,2115112.5599336196,-0.40241111662568363
403,2116912.5599336196,-0.40245411030080913
404,2118712.5599336196,-0.4024760791811746
405,2120692.5599336196,-0.4024917406069877
406,2122870.5599336196,-0.40250539513962613
407,2125266.3599336194,-0.40251893529706717
408,2127901.7399336193,-0.40253322865437535
409,2130800.6579336193,-0.40254873613266645
410,2133989.4677336193,-0.4025657076340597
411,2137497.158513619,-0.4025843570480536
412,2141355.618371619,-0.4026049303059323
413,2145599.9242154188,-0.4026275571007232
414,2150268.6606435985,-0.4026524683704256
415,2155404.2707145964,-0.4026799237136379
416,2161053.4417926944,-0.4027101893251672
417,2167267.529978602,-0.402743529259421
418,2174103.0269831005,-0.40278025054455663
419,2181622.073688049,-0.4028207147546778
420,2189893.025063492,-0.4028652963576833
421,2198991.0715764794,-0.40291448909859034
422,2208998.9227407654,-0.4026729063407063
423,2220007.55902148,-0.40199415893746343
424,2232117.058930266,-0.4016913373192417
425,2245437.508829931,-0.4016789287477359
426,2260090.003719562,-0.40168696237895835
